date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:17	28135/28135	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2006:52:18%20GMT	http://leehee.kr/	C:/My%20Web%20Sites/ljh/leehee.kr/index.html	(from )
15:52:17	14932/14932	---M--	200	added ('OK')	text/css	etag:%2213a3c62-3a54-5e7095d53856a%22	http://leehee.kr/css/main.css	C:/My%20Web%20Sites/ljh/leehee.kr/css/main.css	(from http://leehee.kr/)
15:52:17	117150/117150	---M--	200	added ('OK')	text/css	etag:%2213a3c6a-1c99e-5e7095d568ec2%22	http://leehee.kr/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ljh/leehee.kr/bootstrap/css/bootstrap.min.css	(from http://leehee.kr/)
15:52:17	19963/19963	---M--	200	added ('OK')	text/css	etag:%2213a3c67-4dfb-5e7095d5496da%22	http://leehee.kr/bootstrap/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/ljh/leehee.kr/bootstrap/css/bootstrap-theme.min.css	(from http://leehee.kr/)
15:52:18	601/601	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2006:52:18%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@48,400,0,0	C:/My%20Web%20Sites/ljh/fonts.googleapis.com/css230c1.css	(from http://leehee.kr/)
15:52:18	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/ljh/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://leehee.kr/)
15:52:18	35452/35452	---M--	200	added ('OK')	text/javascript	etag:%2213a3c73-8a7c-5e7095d59887a%22	http://leehee.kr/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/ljh/leehee.kr/bootstrap/js/bootstrap.min.js	(from http://leehee.kr/)
15:52:19	737/737	---M--	200	added ('OK')	text/javascript	etag:%2213437a3-2e1-5e7095d1dc79a%22	http://leehee.kr/js/scroll.js	C:/My%20Web%20Sites/ljh/leehee.kr/js/scroll.js	(from http://leehee.kr/)
15:52:19	3461/3461	---M--	200	added ('OK')	image/jpeg	etag:%221340024-d85-5e7095cd6bc1a%22	http://leehee.kr/img/graphic-thumb-img01.jpg	C:/My%20Web%20Sites/ljh/leehee.kr/img/graphic-thumb-img01.jpg	(from http://leehee.kr/)
15:52:19	11131/11131	---M--	200	added ('OK')	image/jpeg	etag:%221361d24-2b7b-5e7095cef58e2%22	http://leehee.kr/img/section2-img/promotion-thumbnail.jpg	C:/My%20Web%20Sites/ljh/leehee.kr/img/section2-img/promotion-thumbnail.jpg	(from http://leehee.kr/)
