date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:12	30858/30858	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:13%20GMT	http://ringpuppy2.dothome.co.kr/	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/index.html	(from )
18:06:13	29515/29515	---M--	200	added ('OK')	image/jpeg	etag:%22734b-5e77154cd9f98%22	http://ringpuppy2.dothome.co.kr/img/og-img.jpg	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/og-img.jpg	(from http://ringpuppy2.dothome.co.kr/)
18:06:13	22381/22381	---M--	200	added ('OK')	text/css	etag:%22576d-5e6311d645d73%22	http://ringpuppy2.dothome.co.kr/css/default.css?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/css/default2c64.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:13	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5e5f79af74ecb%22	http://ringpuppy2.dothome.co.kr/js/font-awesome/css/font-awesome.min.css?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/font-awesome/css/font-awesome.min2c64.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:13	7371/7371	---M--	200	added ('OK')	text/css	etag:%221ccb-5e5f7993b4ad1%22	http://ringpuppy2.dothome.co.kr/skin/latest/pic_owl.carousel/style.css?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/skin/latest/pic_owl.carousel/style2c64.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:13	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Mar%202023%2009:06:15%20GMT	http://ringpuppy2.dothome.co.kr/bbs	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/bbs	(from http://ringpuppy2.dothome.co.kr/)
18:06:14	225/225	---M--	302	error ('Found')	text/html	date:Thu,%2023%20Mar%202023%2009:06:15%20GMT	http://ringpuppy2.dothome.co.kr/bbs/	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/bbs/index.html	(from http://ringpuppy2.dothome.co.kr/)
18:06:14	601/601	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2009:06:14%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@48,400,0,0	C:/My%20Web%20Sites/pjh2/fonts.googleapis.com/css230c1.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:14	21715/21715	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2009:06:15%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@20..48,100..700,0..1,-50..200	C:/My%20Web%20Sites/pjh2/fonts.googleapis.com/css2a9bd.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:14	2806/2806	---M--	200	added ('OK')	image/png	etag:%22af6-5e77154e92290%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-57x57.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:15	3001/3001	---M--	200	added ('OK')	image/png	etag:%22bb9-5e77154e95d28%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-60x60.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:15	3633/3633	---M--	200	added ('OK')	image/png	etag:%22e31-5e77154e9a760%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-72x72.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:15	4034/4034	---M--	200	added ('OK')	image/png	etag:%22fc2-5e77154e9d258%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-76x76.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:15	7274/7274	---M--	200	added ('OK')	image/png	etag:%221c6a-5e77154e7edf8%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-114x114.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:16	7923/7923	---M--	200	added ('OK')	image/png	etag:%221ef3-5e77154e820c0%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-120x120.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:16	10555/10555	---M--	200	added ('OK')	image/png	etag:%22293b-5e77154e85f40%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-144x144.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:16	11543/11543	---M--	200	added ('OK')	image/png	etag:%222d17-5e77154e8a978%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-152x152.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:16	15730/15730	---M--	200	added ('OK')	image/png	etag:%223d72-5e77154e8efc8%22	http://ringpuppy2.dothome.co.kr/img/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/apple-icon-180x180.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:16	15487/15487	---M--	200	added ('OK')	image/png	etag:%223c7f-5e77154e68a80%22	http://ringpuppy2.dothome.co.kr/img/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/android-icon-192x192.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:17	2025/2025	---M--	200	added ('OK')	image/png	etag:%227e9-5e77154eba718%22	http://ringpuppy2.dothome.co.kr/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/favicon-32x32.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:17	5468/5468	---M--	200	added ('OK')	image/png	etag:%22155c-5e77154eb8fa8%22	http://ringpuppy2.dothome.co.kr/img/favicon/favicon-96x96.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/favicon-96x96.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:17	1328/1328	---M--	200	added ('OK')	image/png	etag:%22530-5e77154eaff20%22	http://ringpuppy2.dothome.co.kr/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/favicon-16x16.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:17	720/720	---M--	200	added ('OK')	application/json	etag:%222d0-5e77154ec6680%22	http://ringpuppy2.dothome.co.kr/img/favicon/manifest.json	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/favicon/manifest.json	(from http://ringpuppy2.dothome.co.kr/)
18:06:18	57/57	---MCZ	302	error ('Found')	text/plain	date:Thu,%2023%20Mar%202023%2009:06:18%20GMT	https://unpkg.com/swiper@8/swiper-bundle.min.css	C:/My%20Web%20Sites/pjh2/unpkg.com/swiper@8/swiper-bundle.min.15.delayed	(from http://ringpuppy2.dothome.co.kr/)
18:06:18	16493/16493	---MCZ	200	added ('OK')	text/css	etag:%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://unpkg.com/swiper@8.4.7/swiper-bundle.min.css	C:/My%20Web%20Sites/pjh2/unpkg.com/swiper@8.4.7/swiper-bundle.min.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:18	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/pjh2/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:18	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%2217b8b-5e5f79aef1d23%22	http://ringpuppy2.dothome.co.kr/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/jquery-1.12.4.min.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:19	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5e5f79aefa5db%22	http://ringpuppy2.dothome.co.kr/js/jquery-migrate-1.4.1.min.js	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/jquery-migrate-1.4.1.min.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:19	2822/2822	---M--	200	added ('OK')	application/javascript	etag:%22b06-5e5f79af0c6eb%22	http://ringpuppy2.dothome.co.kr/js/jquery.menu.js?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/jquery.menu2c64.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:19	21226/21226	---M--	200	added ('OK')	application/javascript	etag:%2252ea-5e5f79aedf05b%22	http://ringpuppy2.dothome.co.kr/js/common.js?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/common2c64.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:19	11096/11096	---M--	200	added ('OK')	application/javascript	etag:%222b58-5e771a0512ac9%22	http://ringpuppy2.dothome.co.kr/js/wrest.js?ver=191110	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/wrest2c64.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:19	5079/5079	---M--	200	added ('OK')	application/javascript	etag:%2213d7-5e5f79af27883%22	http://ringpuppy2.dothome.co.kr/js/placeholders.min.js	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/placeholders.min.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:20	16732/16732	---M--	200	added ('OK')	text/css	etag:%22415c-5e781f3d07506%22	http://ringpuppy2.dothome.co.kr/css/main.css	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/css/main.css	(from http://ringpuppy2.dothome.co.kr/)
18:06:20	361/361	---M--	200	added ('OK')	application/javascript	etag:%22169-5e781efb10984%22	http://ringpuppy2.dothome.co.kr/js/main.js	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/js/main.js	(from http://ringpuppy2.dothome.co.kr/)
18:06:20	19099/19099	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:21%20GMT	http://ringpuppy2.dothome.co.kr/sub/sub-brand.php	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/sub/sub-brand.html	(from http://ringpuppy2.dothome.co.kr/)
18:06:20	5391/5391	---M--	200	added ('OK')	image/png	etag:%22150f-5e77154c03600%22	http://ringpuppy2.dothome.co.kr/img/gnb-img01.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/gnb-img01.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:21	28198/28198	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:22%20GMT	http://ringpuppy2.dothome.co.kr/bbs/board.php?bo_table=brand	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/bbs/board34e8.html	(from http://ringpuppy2.dothome.co.kr/)
18:06:21	19649/19649	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:22%20GMT	http://ringpuppy2.dothome.co.kr/sub/sub-brand03.php	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/sub/sub-brand03.html	(from http://ringpuppy2.dothome.co.kr/)
18:06:21	22975/22975	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:22%20GMT	http://ringpuppy2.dothome.co.kr/sub/sub-brand04.php	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/sub/sub-brand04.html	(from http://ringpuppy2.dothome.co.kr/)
18:06:21	5037/5037	---M--	200	added ('OK')	image/png	etag:%2213ad-5e77154c0a748%22	http://ringpuppy2.dothome.co.kr/img/gnb-img02.png	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/img/gnb-img02.png	(from http://ringpuppy2.dothome.co.kr/)
18:06:22	357761/357761	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2009:06:22%20GMT	http://ringpuppy2.dothome.co.kr/bbs/board.php?bo_table=find	C:/My%20Web%20Sites/pjh2/ringpuppy2.dothome.co.kr/bbs/board0111.html	(from http://ringpuppy2.dothome.co.kr/)
