date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:23	21734/21734	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2007:25:23%20GMT	http://songyi-portfolio.pe.kr/	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/index.html	(from )
16:25:23	297/297	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Mar%202023%2007:25:24%20GMT	http://songyi-portfolio.pe.kr/img/og.png	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/img/og.0.delayed	(from http://songyi-portfolio.pe.kr/)
16:25:23	2187/2187	---M--	200	added ('OK')	image/png	etag:%222644ba8-88b-5f3ecb6318f39%22	http://songyi-portfolio.pe.kr/img/portfolio-pavicon.png	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/img/portfolio-pavicon.png	(from http://songyi-portfolio.pe.kr/)
16:25:23	1528/1528	---M--	200	added ('OK')	text/css	etag:%222644749-5f8-5f42ec2f7e40e%22	http://songyi-portfolio.pe.kr/css/reset.css	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/css/reset.css	(from http://songyi-portfolio.pe.kr/)
16:25:24	5215/5215	---M--	200	added ('OK')	text/css	etag:%22264480b-145f-5f42ec2f6a7a6%22	http://songyi-portfolio.pe.kr/css/common.css	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/css/common.css	(from http://songyi-portfolio.pe.kr/)
16:25:24	19861/19861	---M--	200	added ('OK')	text/css	etag:%222644748-4d95-5f42ec2f747ce%22	http://songyi-portfolio.pe.kr/css/index.css	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/css/index.css	(from http://songyi-portfolio.pe.kr/)
16:25:25	264177/264177	---M--	200	added ('OK')	text/css	etag:%22264498a-407f1-5f3ed99d7c1f4%22	http://songyi-portfolio.pe.kr/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/bootstrap/css/bootstrap.css	(from http://songyi-portfolio.pe.kr/)
16:25:25	2052/2052	---MC-	200	added ('OK')	text/css	date:Fri,%2024%20Mar%202023%2007:25:25%20GMT	https://fonts.googleapis.com/css2?family=Montserrat:wght@100;200;300;400;500;600;700;800;900&display=swap	C:/My%20Web%20Sites/lsy/fonts.googleapis.com/css2b210.css	(from http://songyi-portfolio.pe.kr/)
16:25:25	601/601	---MC-	200	added ('OK')	text/css	date:Fri,%2024%20Mar%202023%2007:25:25%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@48,400,0,0	C:/My%20Web%20Sites/lsy/fonts.googleapis.com/css230c1.css	(from http://songyi-portfolio.pe.kr/)
16:25:25	93100/93100	---M--	200	added ('OK')	text/javascript	etag:%222644744-16bac-5f42ec363b986%22	http://songyi-portfolio.pe.kr/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/js/jquery-1.10.2.min.js	(from http://songyi-portfolio.pe.kr/)
16:25:25	297/297	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Mar%202023%2007:25:26%20GMT	http://songyi-portfolio.pe.kr/js/alert.js	C:/My%20Web%20Sites/lsy/songyi-portfolio.pe.kr/js/alert.9.delayed	(from http://songyi-portfolio.pe.kr/)
