date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:34	21226/21226	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2007:26:35%20GMT	http://songyi2.dothome.co.kr/	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/index.html	(from )
16:26:34	17106/17106	---M--	200	added ('OK')	image/png	etag:%2242d2-5f34f573a5c0f%22	http://songyi2.dothome.co.kr/img/og.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/og.png	(from http://songyi2.dothome.co.kr/)
16:26:34	2601/2601	---M--	200	added ('OK')	image/png	etag:%22a29-5f34f573acd57%22	http://songyi2.dothome.co.kr/img/pavicon.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/pavicon.png	(from http://songyi2.dothome.co.kr/)
16:26:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2007:26:35%20GMT	http://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/lsy3/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.2.delayed	(from http://songyi2.dothome.co.kr/)
16:26:35	36216/36216	---M-Z	200	added ('OK')	text/css	etag:W/%228d78-PbmlkAY03FYSFMaA5teYyx8nbiI%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/lsy3/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	(from http://songyi2.dothome.co.kr/)
16:26:35	21715/21715	---MC-	200	added ('OK')	text/css	date:Fri,%2024%20Mar%202023%2007:26:35%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@20..48,100..700,0..1,-50..200	C:/My%20Web%20Sites/lsy3/fonts.googleapis.com/css2a9bd.css	(from http://songyi2.dothome.co.kr/)
16:26:36	1197/1197	---M--	200	added ('OK')	text/css	etag:%224ad-5f34f57443b67%22	http://songyi2.dothome.co.kr/css/reset.css	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/css/reset.css	(from http://songyi2.dothome.co.kr/)
16:26:36	11543/11543	---M--	200	added ('OK')	text/css	etag:%222d17-5f3726c0a290c%22	http://songyi2.dothome.co.kr/css/common.css	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/css/common.css	(from http://songyi2.dothome.co.kr/)
16:26:36	17226/17226	---M--	200	added ('OK')	text/css	etag:%22434a-5f34f57444b07%22	http://songyi2.dothome.co.kr/css/index.css	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/css/index.css	(from http://songyi2.dothome.co.kr/)
16:26:37	943/943	---M--	200	added ('OK')	application/javascript	etag:%223af-5f3ff5d420f99%22	http://songyi2.dothome.co.kr/js/index.js	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/js/index.js	(from http://songyi2.dothome.co.kr/)
16:26:37	1947/1947	---M--	200	added ('OK')	text/css	etag:%2279b-5f34f5744cfd7%22	http://songyi2.dothome.co.kr/css/slick.css	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/css/slick.css	(from http://songyi2.dothome.co.kr/)
16:26:37	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/My%20Web%20Sites/lsy3/code.jquery.com/jquery-3.4.1.js	(from http://songyi2.dothome.co.kr/)
16:26:38	21226/21226	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2007:26:39%20GMT	http://songyi2.dothome.co.kr/index.html	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/index-2.html	(from http://songyi2.dothome.co.kr/)
16:26:38	22720/22720	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2007:26:39%20GMT	http://songyi2.dothome.co.kr/sub/sub.html	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/sub/sub.html	(from http://songyi2.dothome.co.kr/)
16:26:38	47098/47098	---M--	200	added ('OK')	image/png	etag:%22b7fa-5f34f573d51df%22	http://songyi2.dothome.co.kr/img/sol-img1.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/sol-img1.png	(from http://songyi2.dothome.co.kr/)
16:26:38	71051/71051	---M--	200	added ('OK')	image/png	etag:%221158b-5f34f573e7ea7%22	http://songyi2.dothome.co.kr/img/sol-img2.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/sol-img2.png	(from http://songyi2.dothome.co.kr/)
16:26:38	49603/49603	---M--	200	added ('OK')	image/png	etag:%22c1c3-5f34f573eb557%22	http://songyi2.dothome.co.kr/img/sol-img3.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/sol-img3.png	(from http://songyi2.dothome.co.kr/)
16:26:39	47888/47888	---M--	200	added ('OK')	image/png	etag:%22bb10-5f34f573f4daf%22	http://songyi2.dothome.co.kr/img/sol-img4.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/sol-img4.png	(from http://songyi2.dothome.co.kr/)
16:26:39	49024/49024	---M--	200	added ('OK')	image/png	etag:%22bf80-5f34f573fa787%22	http://songyi2.dothome.co.kr/img/sol-img5.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/sol-img5.png	(from http://songyi2.dothome.co.kr/)
16:26:39	103423/103423	---M--	200	added ('OK')	image/png	etag:%22193ff-5f34f573537a7%22	http://songyi2.dothome.co.kr/img/best-img.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/best-img.png	(from http://songyi2.dothome.co.kr/)
16:26:40	78846/78846	---M--	200	added ('OK')	image/png	etag:%22133fe-5f34f5733e3cf%22	http://songyi2.dothome.co.kr/img/best-img-2.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/best-img-2.png	(from http://songyi2.dothome.co.kr/)
16:26:40	60413/60413	---M--	200	added ('OK')	image/png	etag:%22ebfd-5f34f5733fb3f%22	http://songyi2.dothome.co.kr/img/best-img-3.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/best-img-3.png	(from http://songyi2.dothome.co.kr/)
16:26:40	59949/59949	---M--	200	added ('OK')	image/png	etag:%22ea2d-5f34f57383547%22	http://songyi2.dothome.co.kr/img/multi-img-1.png	C:/My%20Web%20Sites/lsy3/songyi2.dothome.co.kr/img/multi-img-1.png	(from http://songyi2.dothome.co.kr/)
