date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:45	13213/13213	U--MC-	200	updated ('OK')	text/html	date:Fri,%2021%20Jul%202023%2005:47:45%20GMT	http://leedaegyu.kr/	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/index.html	(from )
14:47:45	107051/107051	U-----	200	untouched ('')	image/jpeg	etag:%22a80953-1a22b-5ff160cafe224%22	http://leedaegyu.kr/img/og-img.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/og-img.jpg	(from http://leedaegyu.kr/)
14:47:46	1130/1130	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%22a80944-46a-5ff160cab2f04%22	http://leedaegyu.kr/img/favicon.ico	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/favicon.ico	(from http://leedaegyu.kr/)
14:47:46	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/23%202/ldk/unpkg.com/aos@2.3.1/dist/aos.css	(from http://leedaegyu.kr/)
14:47:46	18065/18065	---M-Z	200	added ('OK')	text/css	etag:W/%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	C:/My%20Web%20Sites/23%202/ldk/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from http://leedaegyu.kr/)
14:47:46	1068/1068	U-----	200	untouched ('OK')	text/css	etag:%22a8093f-42c-5ff160caa9a94%22	http://leedaegyu.kr/css/reset.css	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/css/reset.css	(from http://leedaegyu.kr/)
14:47:46	287/287	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Jul%202023%2005:47:46%20GMT	http://leedaegyu.kr/img/web3-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web3-modal.5.delayed	(from http://leedaegyu.kr/)
14:47:47	27181/27181	U-----	200	untouched ('OK')	text/css	etag:%22a80942-6a2d-5ff160caa4c74%22	http://leedaegyu.kr/css/common.css	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/css/common.css	(from http://leedaegyu.kr/)
14:47:47	5904/5904	U-----	200	untouched ('')	text/javascript	etag:%22a80971-1710-5ff4584a09c64%22	http://leedaegyu.kr/js/common.js	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/js/common.js	(from http://leedaegyu.kr/)
14:47:47	1691622/1691622	U-----	200	untouched ('')	image/jpeg	etag:%22a8096c-19cfe6-5ff160cb90214%22	http://leedaegyu.kr/img/web2-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web2-modal.jpg	(from http://leedaegyu.kr/)
14:47:47	1565679/1565679	U-----	200	untouched ('')	image/jpeg	etag:%22a80968-17e3ef-5ff160cb6c3dc%22	http://leedaegyu.kr/img/web1-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web1-modal.jpg	(from http://leedaegyu.kr/)
14:47:47	1079091/1079091	U-----	200	untouched ('')	image/jpeg	etag:%22a8094a-107733-5ff160cae24d4%22	http://leedaegyu.kr/img/graphic1-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/graphic1-modal.jpg	(from http://leedaegyu.kr/)
14:47:48	130351/130351	U-----	200	untouched ('')	image/png	etag:%22a8094e-1fd2f-5ff160cae76dc%22	http://leedaegyu.kr/img/graphic2-modal.png	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/graphic2-modal.png	(from http://leedaegyu.kr/)
14:47:48	140562/140562	U--M-Z	200	updated ('OK')	application/javascript	etag:W/%2222512-6lnzeyMttt7iaUB4vyHhU6CbrN0%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	C:/My%20Web%20Sites/23%202/ldk/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	(from http://leedaegyu.kr/)
14:47:48	123774/123774	U-----	200	untouched ('')	image/jpeg	etag:%22a80959-1e37e-5ff160cb1a744%22	http://leedaegyu.kr/img/profile.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/profile.jpg	(from http://leedaegyu.kr/)
14:47:49	181362/181362	U-----	200	untouched ('')	image/jpeg	etag:%22a8096e-2c472-5ff160cb97744%22	http://leedaegyu.kr/img/web3.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web3.jpg	(from http://leedaegyu.kr/)
14:47:49	161868/161868	U-----	200	untouched ('')	image/jpeg	etag:%22a8096d-2784c-5ff160cb85a1c%22	http://leedaegyu.kr/img/web2.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web2.jpg	(from http://leedaegyu.kr/)
14:47:49	204687/204687	U-----	200	untouched ('')	image/jpeg	etag:%22a80969-31f8f-5ff160cb55894%22	http://leedaegyu.kr/img/web1.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web1.jpg	(from http://leedaegyu.kr/)
14:47:49	116328/116328	U-----	200	untouched ('')	image/jpeg	etag:%22a8094c-1c668-5ff160cad4a14%22	http://leedaegyu.kr/img/graphic1.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/graphic1.jpg	(from http://leedaegyu.kr/)
14:47:49	29849/29849	U--MC-	200	updated ('OK')	text/html	date:Fri,%2021%20Jul%202023%2005:47:48%20GMT	http://leedaegyu.kr/web/web3/index.html	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/web/web3/index.html	(from http://leedaegyu.kr/)
