date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:09	26281/26281	---MC-	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2008:09:09%20GMT	http://leedaegyu.pe.kr/	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/index.html	(from )
17:09:09	27935/27935	---M--	200	added ('OK')	text/css	etag:%2214414f7-6d1f-5fe741e52496a%22	http://leedaegyu.pe.kr/css/default.css?ver=2303229	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/css/defaultaa39.css	(from http://leedaegyu.pe.kr/)
17:09:09	31000/31000	---M--	200	added ('OK')	text/css	etag:%2214415a1-7918-5fb7be19da30f%22	http://leedaegyu.pe.kr/js/font-awesome/css/font-awesome.min.css?ver=2303229	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/js/font-awesome/css/font-awesome.minaa39.css	(from http://leedaegyu.pe.kr/)
17:09:09	300/300	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Jul%202023%2008:09:09%20GMT	http://leedaegyu.pe.kr/bbs	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/bbs.2.delayed	(from http://leedaegyu.pe.kr/)
17:09:09	947/947	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221441538-3b3-5fe37acc96ad2%22	http://leedaegyu.pe.kr/img/favicon.ico	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/img/favicon.ico	(from http://leedaegyu.pe.kr/)
17:09:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Jul%202023%2008:09:10%20GMT	http://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/23%202/ldk2/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.4.delayed	(from http://leedaegyu.pe.kr/)
17:09:10	290/290	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Jul%202023%2008:09:10%20GMT	http://leedaegyu.pe.kr/bbs/	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/bbs/index.html	(from http://leedaegyu.pe.kr/)
17:09:10	865/865	---M--	200	added ('OK')	text/javascript	etag:%221441552-361-5fe365f9d4d98%22	http://leedaegyu.pe.kr/js/default.js	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/js/default.js	(from http://leedaegyu.pe.kr/)
17:09:10	36216/36216	---M-Z	200	added ('OK')	text/css	etag:W/%228d78-PbmlkAY03FYSFMaA5teYyx8nbiI%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/23%202/ldk2/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	(from http://leedaegyu.pe.kr/)
17:09:10	97163/97163	---M--	200	added ('OK')	text/javascript	etag:%22144156d-17b8b-5fb7be1929ad7%22	http://leedaegyu.pe.kr/js/jquery-1.12.4.min.js?ver=2210172	C:/My%20Web%20Sites/23%202/ldk2/leedaegyu.pe.kr/js/jquery-1.12.4.minc55d.js	(from http://leedaegyu.pe.kr/)
